#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
A,abook,"is an offline addressbook usable by neomutt."
A,htop-vim-git, "is TUI System monitor"
A,lf,"is an extensive terminal file manager."
A,nerd-fonts-jetbrains-mono, "is JetBrainsMono Nerd Font Patched [Font]"
A,nonicons-font, "is SVG icons programming lang and dev tools (Neovim) [Font]"
A,noto-fonts-emoji-apple, "is an apple emoji replace for noto [Font]."
A,simple-mtpfs,"enables the mounting of cell phones."
A,task-spooler,"queues commands or files for download."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell.(ZSH)"
AX,bitwarden-cli-bin, "Bitwarden Password Manager <CLI>"
AM,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
AM,mutt-wizard-git,"is a light-weight terminal-based email system <CLI>."
AM,sc-im,"is an Excel-like terminal spreadsheet manager."
AM,scrcpy, "is Mirroring and Controlling Android Devices"
AM,siji, "Bitmap Font [Font]"
AM,tremc,"a ncurses interface for tranmission-cli [Torrent Client]"
AM,vidir,"allows editing of directories and filenames in a text editor | for bulrenaming (req:lf)"
AM,whitesur-gtk-theme-git, "Dark theme MacOS BigSur themes GTK [Theme]"
AM,whitesur-icon-theme-git, "Icon MacOS BigSur [Theme]"
AM,xcolor, "is Minimalist Color Picker"
AO,bitwarden-bin, "Bitwarden Password Manager"
AO,browserpass, "is a Simple Unix Password Manager"
AO,caffeine-ng-git, "Temporarly inhibit screensave and sleep mode"
AO,calibre, "is GUI Ebook Management Applications"
AO,epy-git,"is a CLI epub reader"
AO,ffmpeg-compat-57, "Local files for spotify"
AO,genius-spicetify-git, "Spicetify app fetches lyric from genius and Musiclyric"
AO,glow-bin, "is Markdown Rendered <CLI>"
AO,klavaro, "Typing Tutor (#keyboard)"
AO,neovim-nightly-bin,"a tidier vim with some useful features"
A,nerd-fonts-sf-mono, "is Apple Fonts SFMono Nerd Font Patched [Font]"
AO,notion-enhancer, " [GUI] AIO productivity workspace with some enhancer "
AO,obisidian-appimage, " [GUI] Offiline Markdown Notes"
AO,otf-etbb, "Et Book fonts used for emacs (req:emacs) [Font]"
AO,play-with-mpv-git, "Allow to play videos in webpages with MPV"
AO,rambox-bin, "all in one messaging web app [tg.etc]"
AO,spicetify-cli, "CLI tool to customize spotify"
AO,spotify, "Spotify Music Player"
AO,tiny-media-manager-3, "is GUI app for media Management Tools (movies/tvshow) "
AO,transmission-cli, "Torrent"
AO,vscodium-bin, "[GUI] VSCode without Microsoft Telemetry Crap"
AO,ytfzf-git,"Find Youtube video with FZF"
AX,color-picker, "Color picker <GUI>"
AX,dragon-drag-and-drop-git, "simple drag and drop source/sink for X - file"
AX,grabc, "is Minimalist Color Picker"
GM,https://github.com/romariorobby/dmenu.git, "[HTTPS] is my custom build of AIO suckless"
GM,https://github.com/romariorobby/dwmblocks.git, "[HTTPS] is my custom build of AIO suckless"
GO,https://github.com/romariorobby/st.git, "[HTTPS] is my custom build of AIO suckless [Terminal]"
